City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
297,Katobu,ID,-4.9408,122.5276,77.18,91,100,4.12,overcast clouds
298,Nouadhibou,MR,20.931,-17.0347,66.18,68,10,14.97,clear sky
299,Boa Vista,BR,2.8197,-60.6733,85.98,58,0,4.61,clear sky
300,Koslan,RU,63.4564,48.8989,4.21,81,100,12.26,overcast clouds
301,Rongcheng,CN,30.634,117.8517,46.02,58,21,2.01,few clouds
302,Whitehorse,CA,60.7161,-135.0538,-13.9,75,20,1.99,few clouds
303,Sao Pedro,BR,-22.5486,-47.9139,72.27,70,72,11.65,broken clouds
304,Mildura,AU,-34.2,142.15,67.06,45,51,6.91,broken clouds
305,Gilgit,PK,35.9221,74.3087,43.12,42,61,2.62,broken clouds
306,Coihaique,CL,-45.5752,-72.0662,64.35,48,40,10.36,scattered clouds
307,Dicamay,PH,16.7561,122.0037,65.95,98,100,1.21,overcast clouds
308,Mirnyy,RU,62.5353,113.9611,6.24,71,99,15.99,overcast clouds
309,Montepuez,MZ,-13.1256,38.9997,67.93,97,3,1.83,clear sky
310,Jinchang,CN,38.4953,102.1739,33.24,16,7,1.74,clear sky
311,Gambela,ET,8.25,34.5833,79.99,42,48,3.67,scattered clouds
312,Gunjur,GM,13.2019,-16.7339,73.47,73,100,0.0,overcast clouds
313,Lompoc,US,34.6391,-120.4579,63.41,72,1,12.66,clear sky
314,Naze,JP,28.3667,129.4833,58.12,65,93,12.24,overcast clouds
315,Beringovskiy,RU,63.05,179.3167,30.61,98,100,17.13,snow
316,Touros,BR,-5.1989,-35.4608,81.5,80,59,14.23,broken clouds
317,Zlobin,HR,45.2924,14.6541,40.15,94,75,6.91,broken clouds
318,Dhidhdhoo,MV,6.8833,73.1,80.98,77,36,5.14,scattered clouds
319,Miyako,JP,39.6367,141.9525,36.28,60,20,7.94,few clouds
320,Papara,BR,-3.9839,-38.7273,83.71,85,72,3.53,broken clouds
321,Beloha,MG,-25.1667,45.05,72.95,78,0,5.01,clear sky
322,Pemberton,CA,50.3164,-122.8027,35.29,90,100,3.0,overcast clouds
323,Along,IN,28.1667,94.7667,54.99,84,24,1.41,few clouds
324,Los Llanos De Aridane,ES,28.6585,-17.9182,64.15,55,20,15.99,few clouds
325,Strezhevoy,RU,60.7333,77.5889,8.58,96,100,7.29,light snow
326,Ketchikan,US,55.3422,-131.6461,30.67,86,40,5.75,scattered clouds
327,Bereda,ES,43.2686,-7.5406,47.95,100,82,5.44,light rain
328,Beipiao,CN,41.7919,120.7792,28.4,78,5,4.7,clear sky
329,Biscarrosse,FR,44.3945,-1.1672,49.95,76,75,18.41,broken clouds
330,Barreirinhas,BR,-2.7469,-42.8264,78.06,88,82,6.22,broken clouds
331,Stykkisholmur,IS,65.0757,-22.7297,28.96,85,80,8.48,broken clouds
332,Danielskuil,ZA,-28.1887,23.5395,58.98,93,92,8.86,overcast clouds
333,Ostrovnoy,RU,68.0531,39.5131,5.0,97,83,7.67,broken clouds
334,Wattegama,LK,6.7989,81.4808,72.84,94,6,2.37,clear sky
335,Urumqi,CN,43.801,87.6005,14.95,86,100,4.47,mist
336,Rio Gallegos,AR,-51.6226,-69.2181,62.65,25,75,31.07,broken clouds
337,Vyartsilya,RU,62.1764,30.693,2.57,91,8,5.23,clear sky
338,Elat,IL,29.5581,34.9482,62.44,59,0,0.0,clear sky
339,Puerto Cabezas,NI,14.0351,-83.3888,82.36,94,40,9.22,scattered clouds
340,Anito,PH,12.4497,125.2886,76.37,84,90,16.13,overcast clouds
341,Vardo,NO,70.3705,31.1107,21.07,77,17,25.75,few clouds
342,Antofagasta,CL,-23.65,-70.4,63.68,74,28,4.99,scattered clouds
343,Zaysan,KZ,47.4667,84.8667,22.1,89,75,1.19,broken clouds
344,Ancud,CL,-41.8697,-73.8203,63.43,73,0,2.24,clear sky
